AD,election_district,pct_reported,zohran_kwame_mamdani,scott_m_stringer,selma_k_bartholomew,zellnor_myrie,adrienne_e_adams,andrew_m_cuomo,jessica_ramos,whitney_r_tilson,michael_blake,brad_lander,paperboy_love_prince,write_in
AD80-2,ED 9,99,74,1,1,0,1,61,2,0,0,2,3,0
AD80-2,ED 10,99,65,2,0,1,5,63,0,0,0,3,0,0
AD80-2,ED 11,99,68,6,2,3,11,77,0,0,1,11,0,0
AD80-2,ED 12,99,90,3,0,0,3,101,2,0,1,3,0,0
AD80-2,ED 13,99,121,4,0,1,7,83,0,0,1,8,2,0
AD80-2,ED 14,99,98,7,0,0,16,104,4,1,5,14,2,1
AD80-2,ED 15,99,91,3,0,2,11,99,3,1,1,7,0,0
AD80-2,ED 16,99,108,3,0,2,10,76,0,0,1,6,0,1
AD80-2,ED 17,99,106,1,0,1,10,94,1,2,2,8,0,1
AD80-2,ED 18,99,70,3,1,3,6,62,2,0,1,5,0,0
AD80-2,ED 19,99,71,0,0,2,4,36,0,0,0,8,0,0
AD80-2,ED 20,99,86,5,0,1,5,90,0,3,0,14,0,1
AD80-2,ED 21,99,152,3,0,4,7,51,1,0,1,20,0,0
AD80-2,ED 22,99,24,2,2,0,4,59,1,0,0,3,0,0
AD80-2,ED 23,99,99,3,0,0,10,80,1,0,1,9,1,0
AD80-2,ED 24,99,84,5,0,2,8,78,0,1,2,13,0,1
AD80-2,ED 25,99,49,5,0,0,5,77,0,1,1,3,1,1
AD80-2,ED 26,99,80,3,0,2,11,116,0,2,1,3,0,1
AD80-2,ED 27,99,15,0,0,0,4,40,0,1,0,0,0,0
AD80-2,ED 28,99,23,0,0,0,0,17,0,1,0,3,0,0
AD80-2,ED 29,99,76,4,1,1,12,119,2,1,0,8,0,1
AD80-2,ED 30,99,96,4,1,2,9,92,0,0,0,6,1,0
AD80-2,ED 31,99,64,0,0,1,7,101,1,0,1,8,0,0
AD80-2,ED 32,99,47,0,0,1,1,47,0,1,0,2,0,0
AD80-2,ED 33,99,30,1,0,0,1,18,0,0,0,1,0,1
AD80-2,ED 34,99,63,0,1,1,8,113,1,0,3,3,0,0
AD80-2,ED 35,80,44,2,0,3,6,83,2,1,2,4,0,0
AD80-2,ED 36,99,27,1,0,0,11,68,1,0,0,2,0,0
AD80-2,ED 37,80,45,1,0,1,5,59,1,0,1,1,0,0
AD80-2,ED 38,99,47,1,1,1,17,96,0,1,2,2,0,0
AD80-2,ED 39,99,44,0,2,2,7,71,2,0,3,8,2,0
AD80-2,ED 40,99,64,1,0,1,5,36,1,0,1,3,0,0
AD80-2,ED 41,99,116,3,1,2,9,107,0,3,0,8,0,1
AD80-2,ED 42,99,89,1,0,0,4,85,0,1,0,10,0,0
AD80-2,ED 43,99,68,2,0,1,8,50,2,0,1,9,1,0
AD80-2,ED 44,99,51,2,1,1,12,101,3,1,1,2,0,1
AD80-2,ED 45,99,59,2,2,0,8,80,1,0,2,3,0,1
AD80-2,ED 46,99,59,0,1,0,5,65,2,0,0,2,0,0
AD80-2,ED 47,99,56,2,0,0,6,43,2,0,0,2,0,0
AD80-2,ED 48,99,26,1,1,3,1,74,3,0,0,1,0,0
AD80-2,ED 49,99,51,1,0,1,10,86,1,1,0,5,0,0
AD80-2,ED 50,99,41,0,0,3,0,70,1,0,0,5,0,0
AD80-2,ED 51,99,42,2,1,0,8,79,0,0,1,2,1,0
AD80-2,ED 52,99,1,0,0,0,0,17,0,0,0,0,0,0
AD80-2,ED 53,99,91,2,0,0,3,63,0,0,1,2,0,1
AD80-2,ED 54,99,124,7,1,1,28,327,1,0,6,10,0,0
AD80-2,ED 55,99,76,1,0,0,3,62,4,0,0,2,0,0
AD80-2,ED 56,99,123,1,0,1,1,45,2,0,0,4,2,0
AD80-2,ED 57,99,150,1,1,2,7,74,0,0,2,5,2,0
AD80-2,ED 58,99,0,0,0,0,0,0,0,0,0,0,0,0
AD80-2,ED 59,99,0,0,0,0,0,0,0,0,0,0,0,0
AD80-2,ED 60,99,0,0,0,0,0,0,0,0,0,0,0,0
AD80-2,ED 61,99,0,0,0,0,0,0,0,0,0,0,0,0
AD81-2,ED 1,99,59,4,2,0,4,78,3,0,0,3,0,0
AD81-2,ED 2,99,60,0,0,2,7,101,0,3,2,8,0,0
AD81-2,ED 3,99,33,3,0,2,1,56,1,0,0,5,0,0
AD81-2,ED 4,99,20,0,0,0,8,83,0,0,4,2,0,0
AD81-2,ED 5,99,68,2,0,1,7,62,3,0,1,6,1,0
AD81-2,ED 6,99,61,1,0,1,17,102,2,0,1,4,2,0
AD81-2,ED 7,99,79,1,0,0,12,51,0,0,0,16,0,0
AD81-2,ED 8,99,104,5,0,1,7,86,1,1,4,12,0,0
AD81-2,ED 9,99,96,1,0,2,1,64,1,2,2,7,1,2
AD81-2,ED 10,99,105,11,0,1,10,103,1,2,0,29,2,1
AD81-2,ED 11,99,161,3,2,3,7,109,5,1,3,25,0,1
AD81-2,ED 12,99,135,7,0,3,7,95,2,4,1,29,1,2
AD81-2,ED 13,99,18,1,0,0,1,7,0,1,0,2,0,0
AD81-2,ED 14,99,151,19,2,3,17,202,0,6,0,94,0,0
AD81-2,ED 15,80,61,9,0,2,12,106,2,2,2,49,0,0
AD81-2,ED 16,80,56,7,0,5,7,85,1,4,0,37,0,0
AD81-2,ED 17,99,161,10,2,6,14,105,1,3,6,44,2,0
AD81-2,ED 18,99,39,3,2,1,5,99,0,2,0,4,0,0
AD81-2,ED 19,88.89,144,16,0,3,14,214,1,2,3,79,0,1
AD81-2,ED 20,88.89,146,12,0,3,14,100,1,2,3,82,0,1
AD81-2,ED 21,88.89,166,17,0,9,16,138,2,2,2,62,2,0
AD81-2,ED 22,88.89,105,17,0,5,19,233,4,4,0,70,1,0
AD81-2,ED 23,88.89,150,2,1,3,12,84,1,1,2,52,2,0
AD81-2,ED 24,99,41,2,0,1,7,92,0,1,0,2,0,0
AD81-2,ED 25,88.89,55,16,0,10,6,172,2,8,1,56,0,1
AD81-2,ED 26,88.89,135,8,1,0,31,99,1,0,3,46,1,0
AD81-2,ED 27,99,136,17,0,6,23,198,1,8,2,107,1,2
AD81-2,ED 28,99,118,18,1,3,33,295,2,6,5,130,2,0
AD81-2,ED 29,99,135,21,0,7,32,303,2,3,1,94,0,1
AD81-2,ED 30,99,118,14,1,4,15,253,1,10,4,49,0,0
AD81-2,ED 31,99,116,27,2,2,16,330,1,21,2,95,1,0
AD81-2,ED 32,99,94,20,1,3,20,169,2,9,1,72,0,0
AD81-2,ED 33,99,21,4,0,2,8,70,0,4,0,31,0,0
AD81-2,ED 34,99,109,17,1,2,25,187,2,2,1,62,0,0
AD81-2,ED 35,99,107,13,0,5,34,179,3,1,5,56,0,0
AD81-2,ED 36,99,97,10,0,4,12,80,1,5,4,33,2,1
AD81-2,ED 37,99,151,8,1,2,14,150,0,0,5,59,2,0
AD81-2,ED 38,99,109,9,0,1,11,107,1,4,2,44,0,1
AD81-2,ED 39,99,110,7,0,2,14,88,0,3,0,48,0,0
AD81-2,ED 40,99,99,5,0,1,12,79,1,7,0,63,0,1
AD81-2,ED 41,99,67,9,0,0,5,57,0,1,1,19,0,2
AD81-2,ED 42,99,80,7,0,3,12,63,1,1,1,31,0,0
AD81-2,ED 43,99,88,4,2,3,5,83,2,1,1,33,0,0
AD81-2,ED 44,99,65,3,2,3,7,155,0,0,1,5,0,2
AD81-2,ED 45,99,77,6,0,2,6,62,0,1,3,21,0,1
AD81-2,ED 46,99,56,7,0,1,8,75,0,1,4,11,0,0
AD81-2,ED 47,99,82,0,0,1,9,93,2,0,2,2,1,1
AD81-2,ED 48,99,125,7,0,0,16,133,0,4,1,5,0,0
AD81-2,ED 49,99,44,2,3,1,10,89,2,0,0,5,0,1
AD81-2,ED 50,99,83,1,0,1,2,62,0,4,0,7,0,0
AD81-2,ED 51,99,124,6,0,4,11,65,2,0,1,9,0,0
AD81-2,ED 52,99,42,2,0,1,3,139,2,0,2,0,0,0
AD81-2,ED 53,99,113,7,0,2,19,87,2,0,3,10,0,0
AD81-2,ED 54,99,124,6,2,3,16,119,1,2,1,36,1,1
AD81-2,ED 55,99,32,3,1,0,7,82,2,0,1,0,0,0
AD81-2,ED 56,99,142,13,0,4,13,154,2,0,1,30,0,1
AD81-2,ED 57,99,36,1,0,2,9,87,1,0,3,2,0,1
AD81-2,ED 58,99,28,2,0,2,9,110,0,0,0,3,1,0
AD81-2,ED 59,99,0,0,0,0,0,0,0,0,0,0,0,0
AD81-2,ED 60,99,0,0,0,0,0,0,0,0,0,0,0,0
AD81-2,ED 61,99,0,0,0,0,0,0,0,0,0,0,0,0
AD81-2,ED 62,99,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 1,99,42,7,1,0,5,124,1,8,1,14,1,1
AD82-2,ED 2,99,23,1,0,1,1,26,1,1,0,7,0,0
AD82-2,ED 3,99,53,4,0,0,9,84,1,2,3,6,0,0
AD82-2,ED 4,99,70,3,1,0,9,78,2,1,2,1,0,0
AD82-2,ED 5,99,43,1,0,0,4,48,7,0,0,2,1,0
AD82-2,ED 6,99,37,6,0,0,6,61,2,3,1,13,2,1
AD82-2,ED 7,99,62,4,0,1,6,65,1,3,1,7,0,0
AD82-2,ED 8,99,69,3,0,1,1,45,1,0,0,3,0,0
AD82-2,ED 9,99,77,2,0,0,7,89,2,1,1,5,0,0
AD82-2,ED 10,99,85,3,0,4,8,118,3,0,2,3,0,0
AD82-2,ED 11,99,64,1,0,1,8,98,1,2,0,6,0,0
AD82-2,ED 12,99,35,1,1,0,10,56,1,0,3,4,0,0
AD82-2,ED 13,99,34,2,1,0,3,53,0,0,0,1,0,0
AD82-2,ED 14,99,31,2,0,0,6,95,1,0,1,2,0,0
AD82-2,ED 15,99,89,5,0,0,4,84,1,0,2,1,0,0
AD82-2,ED 16,99,86,0,0,0,5,77,3,3,1,2,1,0
AD82-2,ED 17,99,7,0,0,1,0,2,0,0,0,1,0,0
AD82-2,ED 18,99,63,3,0,0,4,85,0,1,1,6,0,0
AD82-2,ED 19,99,52,3,0,1,2,72,0,2,2,3,2,1
AD82-2,ED 20,99,61,8,0,4,4,98,0,2,0,10,1,0
AD82-2,ED 21,99,40,4,1,0,3,47,0,1,1,2,1,2
AD82-2,ED 22,99,27,0,0,0,5,39,1,3,1,4,0,0
AD82-2,ED 23,99,37,1,0,1,4,54,0,3,0,4,0,0
AD82-2,ED 24,99,34,2,1,0,3,45,0,0,0,2,0,0
AD82-2,ED 25,60,25,4,0,1,5,22,2,0,0,2,1,0
AD82-2,ED 26,99,86,5,1,0,3,47,2,1,0,8,0,0
AD82-2,ED 27,99,57,0,0,0,2,57,3,0,0,7,0,1
AD82-2,ED 28,99,101,5,0,0,8,111,4,0,2,8,0,0
AD82-2,ED 29,99,85,3,0,0,9,104,1,0,2,6,0,1
AD82-2,ED 30,83.33,83,1,1,0,5,60,2,1,1,4,0,1
AD82-2,ED 31,83.33,63,1,0,1,0,37,0,1,1,3,0,0
AD82-2,ED 32,83.33,98,5,0,0,4,71,2,1,0,7,1,0
AD82-2,ED 33,99,71,4,0,1,4,57,0,0,0,4,0,0
AD82-2,ED 34,99,59,1,0,0,2,48,0,0,1,3,0,0
AD82-2,ED 35,99,38,1,0,0,2,29,2,0,0,0,0,0
AD82-2,ED 36,99,187,1,0,0,2,53,0,0,0,1,0,0
AD82-2,ED 37,99,3,0,0,0,0,4,1,0,0,0,0,0
AD82-2,ED 38,99,114,6,0,0,4,74,0,0,0,7,0,0
AD82-2,ED 39,99,49,2,2,0,8,51,2,3,2,4,0,0
AD82-2,ED 40,99,122,3,0,1,3,56,0,1,0,2,0,0
AD82-2,ED 41,99,82,14,0,1,20,117,4,2,1,24,2,0
AD82-2,ED 42,99,106,6,0,2,12,112,2,1,0,31,2,0
AD82-2,ED 43,99,63,3,0,0,4,42,1,1,0,3,0,2
AD82-2,ED 44,83.33,35,2,0,0,3,47,0,0,0,5,0,0
AD82-2,ED 45,99,24,3,2,1,16,176,2,1,3,3,1,1
AD82-2,ED 46,99,66,4,4,1,22,205,4,1,8,7,0,1
AD82-2,ED 47,99,50,2,2,1,27,150,0,0,0,1,0,0
AD82-2,ED 48,99,61,3,0,1,37,266,2,1,3,6,1,1
AD82-2,ED 49,99,69,9,3,6,25,227,1,0,8,13,0,0
AD82-2,ED 50,99,50,8,2,3,24,194,2,1,3,0,1,1
AD82-2,ED 51,99,63,5,0,3,39,190,3,1,2,5,1,2
AD82-2,ED 52,99,71,11,0,2,43,213,0,1,4,2,0,0
AD82-2,ED 53,99,13,0,0,3,3,18,0,0,1,2,0,0
AD82-2,ED 54,99,72,9,2,3,36,287,0,0,9,9,0,0
AD82-2,ED 55,99,81,9,3,5,38,246,2,1,9,2,1,1
AD82-2,ED 56,99,63,7,3,4,28,198,1,0,2,4,0,0
AD82-2,ED 57,99,98,7,0,3,32,254,1,1,9,5,0,1
AD82-2,ED 58,99,78,15,3,2,35,292,1,0,9,12,0,3
AD82-2,ED 59,99,74,8,2,2,37,287,1,2,12,10,0,0
AD82-2,ED 60,99,88,6,1,3,24,261,1,0,6,4,1,1
AD82-2,ED 61,99,82,4,5,2,34,283,5,0,10,5,0,2
AD82-2,ED 62,99,67,5,0,3,34,201,0,1,8,5,0,3
AD82-2,ED 63,99,72,9,2,6,41,268,1,0,6,5,0,1
AD82-2,ED 64,99,93,6,1,3,34,278,0,0,9,9,0,1
AD82-2,ED 65,99,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 66,99,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 67,60,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 68,99,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 69,99,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 70,99,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 71,99,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 72,99,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 73,99,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 74,99,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 75,99,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 76,99,0,0,0,0,0,0,0,0,0,0,0,0
AD82-2,ED 77,60,0,0,0,0,0,0,0,0,0,0,0,0
AD83-2,ED 1,99,72,1,4,0,21,156,1,0,3,4,1,0
AD83-2,ED 2,99,78,0,2,4,21,182,1,0,2,5,0,0
AD83-2,ED 3,99,61,5,8,1,17,156,0,0,1,2,1,4
AD83-2,ED 4,99,40,0,0,4,17,132,0,0,4,3,0,1
AD83-2,ED 5,99,45,3,0,2,8,164,1,1,4,2,0,2
AD83-2,ED 6,99,54,3,3,7,15,154,0,0,1,6,0,1
AD83-2,ED 7,99,52,3,3,5,21,160,0,0,1,3,0,0
AD83-2,ED 8,99,53,3,5,1,17,97,0,0,1,1,0,0
AD83-2,ED 9,99,34,1,1,1,25,99,1,0,2,0,0,0
AD83-2,ED 10,99,54,3,0,3,6,129,2,0,1,1,0,0
AD83-2,ED 11,99,70,3,1,2,15,159,1,1,5,1,0,1
AD83-2,ED 12,99,35,5,0,0,6,123,1,0,7,3,0,0
AD83-2,ED 13,99,65,3,0,1,11,70,0,1,4,2,0,1
AD83-2,ED 14,99,34,0,2,1,11,125,1,0,3,0,0,0
AD83-2,ED 15,99,55,1,0,0,7,121,0,0,3,3,0,1
AD83-2,ED 16,99,39,5,0,1,16,157,0,0,2,3,2,0
AD83-2,ED 17,99,61,3,3,1,19,184,1,0,2,2,1,0
AD83-2,ED 18,99,44,0,0,0,16,81,1,0,4,4,0,0
AD83-2,ED 19,99,52,1,0,2,9,107,0,0,2,0,2,0
AD83-2,ED 20,99,55,0,0,2,13,171,0,0,0,5,0,0
AD83-2,ED 21,99,59,0,0,2,16,129,3,0,1,1,0,0
AD83-2,ED 22,99,55,2,0,1,17,211,0,1,4,4,0,1
AD83-2,ED 23,99,65,1,1,0,13,155,2,0,3,3,0,2
AD83-2,ED 24,99,33,4,0,2,12,105,1,1,6,4,0,0
AD83-2,ED 25,99,69,0,0,2,13,188,1,0,1,5,0,0
AD83-2,ED 26,99,34,6,0,1,12,139,0,0,4,1,0,1
AD83-2,ED 27,99,37,0,0,0,16,110,3,2,1,2,0,0
AD83-2,ED 28,99,29,0,0,4,10,108,0,0,2,0,0,2
AD83-2,ED 29,99,56,0,3,2,16,202,1,0,2,3,0,0
AD83-2,ED 30,99,51,3,2,4,7,96,2,0,0,1,0,0
AD83-2,ED 31,99,42,2,2,1,7,113,1,1,3,1,0,0
AD83-2,ED 32,99,45,5,1,4,21,158,0,0,6,2,0,0
AD83-2,ED 33,99,43,3,0,1,20,164,1,1,1,2,1,0
AD83-2,ED 34,99,57,1,0,2,22,197,1,1,2,2,0,0
AD83-2,ED 35,99,42,3,0,1,18,180,1,0,2,7,0,0
AD83-2,ED 36,99,28,0,0,4,15,110,0,1,1,1,0,0
AD83-2,ED 37,99,46,1,0,1,12,145,2,0,4,1,1,0
AD83-2,ED 38,60,4,0,0,0,2,9,0,0,1,0,0,0
AD83-2,ED 39,99,35,2,0,2,11,138,1,0,1,8,0,1
AD83-2,ED 40,99,36,3,0,1,10,88,0,0,0,3,0,0
AD83-2,ED 41,99,63,6,1,2,11,177,0,1,2,4,0,0
AD83-2,ED 42,99,25,1,1,0,3,71,2,0,0,3,0,0
AD83-2,ED 43,99,61,1,0,1,15,199,1,0,2,4,0,1
AD83-2,ED 44,99,74,2,0,3,31,206,0,1,3,6,0,0
AD83-2,ED 45,60,12,0,0,1,5,59,0,0,0,0,0,0
AD83-2,ED 46,99,78,4,1,7,15,157,0,0,2,7,1,0
AD83-2,ED 47,99,53,2,1,1,18,147,0,0,1,6,0,1
AD83-2,ED 48,99,78,5,0,4,25,154,1,0,3,3,0,2
AD83-2,ED 49,99,32,0,0,2,4,74,0,2,1,0,0,1
AD83-2,ED 50,80,18,0,2,1,5,41,1,1,0,0,1,0
AD83-2,ED 51,99,24,0,0,1,10,64,0,0,0,1,0,1
AD83-2,ED 52,80,22,0,0,0,3,55,2,0,0,2,0,0
AD83-2,ED 53,99,24,1,0,0,9,92,2,0,0,0,0,0
AD83-2,ED 54,99,40,0,0,2,15,138,0,0,3,7,0,1
AD83-2,ED 55,99,29,4,0,2,3,66,0,0,1,1,0,0
AD83-2,ED 56,99,47,1,0,0,17,113,0,0,4,1,0,0
AD83-2,ED 57,99,11,0,0,0,1,15,0,0,0,1,0,0
AD83-2,ED 58,99,0,0,0,0,0,0,0,0,0,0,0,0
AD83-2,ED 59,99,0,0,0,0,0,0,0,0,0,0,0,0
AD84-2,ED 1,99,63,1,0,2,1,145,2,0,2,1,0,0
AD84-2,ED 2,99,33,0,1,2,7,40,0,0,0,1,0,1
AD84-2,ED 3,99,64,0,0,0,4,77,3,0,0,1,0,0
AD84-2,ED 4,99,59,0,0,0,6,74,0,0,1,4,0,0
AD84-2,ED 5,99,79,1,0,1,5,91,0,1,1,0,0,1
AD84-2,ED 6,99,67,2,0,0,5,66,1,2,3,0,0,0
AD84-2,ED 7,99,68,0,0,0,4,80,1,0,0,6,0,1
AD84-2,ED 8,99,65,1,0,0,5,113,1,0,3,1,1,0
AD84-2,ED 9,99,42,1,0,1,9,60,0,0,1,2,0,0
AD84-2,ED 10,99,64,3,0,0,4,96,2,1,1,1,0,1
AD84-2,ED 11,99,69,2,0,1,10,88,0,0,1,1,0,1
AD84-2,ED 12,99,83,0,1,0,5,75,1,0,6,15,0,0
AD84-2,ED 13,99,56,1,0,0,4,51,2,1,0,8,0,0
AD84-2,ED 14,99,87,2,0,1,25,116,0,0,1,12,1,0
AD84-2,ED 15,99,38,1,0,0,3,66,3,1,0,2,0,0
AD84-2,ED 16,99,59,1,0,0,5,16,0,0,0,2,0,1
AD84-2,ED 17,99,51,4,0,0,12,136,5,1,6,5,0,0
AD84-2,ED 18,99,46,1,0,0,5,83,1,0,1,4,0,0
AD84-2,ED 19,99,45,0,0,0,5,64,0,1,1,0,0,0
AD84-2,ED 20,99,57,2,0,0,6,121,1,0,3,1,0,0
AD84-2,ED 21,99,25,4,1,0,8,74,1,0,3,1,0,0
AD84-2,ED 22,99,43,2,1,0,8,111,4,0,2,2,1,0
AD84-2,ED 23,99,64,1,1,1,12,71,0,0,2,0,0,0
AD84-2,ED 24,99,32,1,0,0,5,54,1,0,1,0,0,0
AD84-2,ED 25,99,65,1,0,2,7,129,2,0,0,5,0,0
AD84-2,ED 26,99,47,4,0,0,2,62,3,0,1,3,0,1
AD84-2,ED 27,99,28,0,0,0,3,21,0,0,1,0,0,0
AD84-2,ED 28,99,88,3,0,1,7,93,0,0,2,1,0,0
AD84-2,ED 29,99,94,1,0,0,10,94,1,0,1,2,0,0
AD84-2,ED 30,99,53,0,0,0,2,66,4,0,1,2,0,0
AD84-2,ED 31,99,57,1,1,1,6,73,1,1,3,0,0,0
AD84-2,ED 32,99,47,0,0,0,8,76,0,0,5,1,0,0
AD84-2,ED 33,99,25,1,0,0,7,56,0,1,1,0,0,0
AD84-2,ED 34,99,56,0,1,0,9,90,2,0,2,1,0,0
AD84-2,ED 35,99,59,3,0,1,4,88,3,0,2,5,0,0
AD84-2,ED 36,99,74,1,1,2,4,68,4,0,3,0,0,1
AD84-2,ED 37,99,47,1,3,1,11,88,1,0,0,2,0,0
AD84-2,ED 38,99,86,0,0,0,4,63,0,0,0,4,0,0
AD84-2,ED 39,99,67,0,0,0,8,93,1,0,1,3,0,0
AD84-2,ED 40,99,50,0,0,1,4,39,0,0,2,8,0,0
AD84-2,ED 41,99,87,3,0,0,7,95,1,0,3,2,0,1
AD84-2,ED 42,99,65,1,2,2,3,68,1,1,1,2,1,0
AD84-2,ED 43,99,38,1,2,0,11,127,4,0,3,0,1,1
AD84-2,ED 44,99,145,1,0,0,13,102,1,0,5,8,1,0
AD84-2,ED 45,99,78,1,1,0,9,122,1,2,2,9,0,2
AD84-2,ED 46,99,43,3,0,1,8,79,6,1,2,1,0,0
AD84-2,ED 47,99,33,0,0,0,0,47,1,1,0,2,0,0
AD84-2,ED 48,99,77,1,1,0,7,64,2,0,4,5,0,0
AD84-2,ED 49,99,28,0,1,1,7,55,2,0,2,0,0,1
AD84-2,ED 50,99,68,3,0,1,11,69,0,0,3,11,0,0
AD84-2,ED 51,99,155,1,1,1,17,65,0,2,4,10,0,0
AD84-2,ED 52,99,25,0,0,0,0,13,1,0,0,2,0,0
AD84-2,ED 53,99,57,1,0,0,4,57,0,0,0,0,0,0
AD84-2,ED 54,99,13,0,0,0,0,7,0,1,1,0,0,0
AD84-2,ED 55,99,79,2,1,2,12,118,5,0,5,1,0,1
AD84-2,ED 56,99,22,0,0,1,4,42,0,1,1,0,0,0
AD84-2,ED 57,99,46,1,1,2,10,105,1,0,4,5,1,1
AD84-2,ED 58,99,0,0,0,0,0,0,0,0,0,0,0,0
AD84-2,ED 59,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 1,99,99,4,0,3,33,204,2,1,1,17,1,1
AD85-2,ED 2,99,80,4,0,1,5,128,2,1,5,6,0,1
AD85-2,ED 3,99,62,5,0,1,10,81,0,1,3,1,0,0
AD85-2,ED 4,99,77,2,1,0,9,74,3,0,1,5,0,0
AD85-2,ED 5,99,98,3,0,1,9,124,2,0,0,5,1,1
AD85-2,ED 6,99,30,0,0,1,4,60,1,0,3,2,0,0
AD85-2,ED 7,99,23,0,0,0,5,55,0,0,1,2,0,0
AD85-2,ED 8,99,30,1,0,0,3,40,2,0,3,0,0,0
AD85-2,ED 9,80,31,0,0,1,6,63,0,0,0,2,0,0
AD85-2,ED 10,80,19,1,0,0,6,23,1,0,0,1,0,0
AD85-2,ED 11,99,36,2,0,0,14,70,3,0,1,2,0,0
AD85-2,ED 12,99,19,1,0,2,3,75,0,0,2,0,0,0
AD85-2,ED 13,99,43,1,1,0,10,89,1,0,2,3,0,0
AD85-2,ED 14,99,41,2,0,1,5,54,1,0,1,3,0,0
AD85-2,ED 15,99,78,5,0,2,21,169,1,1,3,4,0,0
AD85-2,ED 16,99,45,0,3,0,19,112,0,2,2,2,0,1
AD85-2,ED 17,99,45,3,2,1,8,90,1,0,2,3,0,0
AD85-2,ED 18,99,65,7,1,2,21,142,2,0,4,5,0,0
AD85-2,ED 19,99,44,2,0,2,6,94,2,1,1,2,0,0
AD85-2,ED 20,99,37,3,0,2,11,104,2,0,0,2,0,0
AD85-2,ED 21,99,77,1,1,0,9,83,1,0,1,4,0,0
AD85-2,ED 22,99,75,1,1,1,4,100,2,0,3,1,0,2
AD85-2,ED 23,99,36,2,0,2,6,60,2,0,1,1,0,0
AD85-2,ED 24,99,27,1,0,0,3,40,0,0,3,1,0,0
AD85-2,ED 25,99,51,1,1,1,12,99,3,0,1,1,0,0
AD85-2,ED 26,99,19,1,1,0,3,76,0,0,0,2,0,0
AD85-2,ED 27,99,40,3,0,0,1,59,0,4,3,0,1,0
AD85-2,ED 28,99,69,0,0,1,18,77,0,1,7,0,1,0
AD85-2,ED 29,99,75,2,0,1,6,132,1,0,2,4,0,0
AD85-2,ED 30,99,32,3,0,0,4,67,0,0,0,0,0,1
AD85-2,ED 31,99,41,3,0,0,5,82,2,0,2,2,0,0
AD85-2,ED 32,99,44,3,1,0,5,83,2,0,2,0,1,0
AD85-2,ED 33,99,57,0,1,1,5,84,2,0,0,0,0,1
AD85-2,ED 34,99,57,6,0,2,8,108,2,0,1,1,0,2
AD85-2,ED 35,99,41,6,0,0,5,94,3,1,0,3,1,0
AD85-2,ED 36,99,52,2,2,0,14,123,2,1,2,1,1,0
AD85-2,ED 37,99,42,0,1,0,1,94,1,1,0,0,0,0
AD85-2,ED 38,99,71,3,0,1,27,159,1,0,4,1,0,0
AD85-2,ED 39,99,42,3,1,0,6,116,2,0,5,1,0,0
AD85-2,ED 40,99,42,2,0,1,4,63,2,0,2,0,1,0
AD85-2,ED 41,99,53,4,1,0,4,135,0,1,1,4,0,0
AD85-2,ED 42,99,33,0,0,0,9,85,1,0,0,2,0,1
AD85-2,ED 43,99,73,0,0,1,5,59,1,0,0,2,0,0
AD85-2,ED 44,99,40,3,1,0,7,72,2,0,0,2,0,0
AD85-2,ED 45,99,52,0,0,0,7,63,4,0,0,0,0,0
AD85-2,ED 46,99,73,1,1,1,4,84,0,0,1,5,0,1
AD85-2,ED 47,99,27,1,0,0,2,34,0,0,1,0,0,0
AD85-2,ED 48,99,35,2,0,0,8,47,0,1,0,1,0,0
AD85-2,ED 49,99,31,0,1,0,3,45,2,0,1,1,1,0
AD85-2,ED 50,99,59,1,0,1,4,76,1,0,1,3,0,0
AD85-2,ED 51,99,75,3,1,0,58,275,1,1,7,6,0,2
AD85-2,ED 52,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 53,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 54,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 55,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 56,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 57,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 58,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 59,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 60,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 61,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 62,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 63,99,0,0,0,0,0,0,0,0,0,0,0,0
AD85-2,ED 64,99,0,0,0,0,0,0,0,0,0,0,0,0
